Ion N,Azm,Elv,KE,TOF,X,Y,Z,KE
initial,initial,initial,initial,final,final,final,final,final
1,0,0.0,2291.6,0.0189355,406.7,0.0,0,1394.39
2,0,0.0,1825.07,0.0240935,406.7,0.0,0,927.855
3,0,0.0,1939.88,0.0224133,406.7,0.0,0,1042.67
4,0,0.0,1352.17,0.0437207,406.7,0.0,0,454.953
5,0,0.0,2337.34,0.0185983,406.7,0.0,0,1440.13
6,0,0.0,2038.54,0.0212359,406.7,0.0,0,1141.33
7,0,0.0,1796.61,0.0245778,406.7,0.0,0,899.4
8,0,0.0,1642.91,0.0278947,406.7,0.0,0,745.697
9,0,0.0,1425.34,0.0370786,406.7,0.0,0,528.124
10,0,0.0,1465.14,0.0346296,406.7,0.0,0,567.932
11,0,0.0,2131.41,0.0202913,406.7,0.0,0,1234.2
12,0,0.0,1534.25,0.0314146,406.7,0.0,0,637.038
13,0,0.0,1644.56,0.0278509,406.7,0.0,0,747.345
14,0,0.0,1786.39,0.0247596,406.7,0.0,0,889.182
15,0,0.0,2255.2,0.0192183,406.7,0.0,0,1357.98
16,0,0.0,1427.64,0.0369203,406.7,0.0,0,530.431
17,0,0.0,1388.09,0.0399997,406.7,0.0,0,490.879
18,0,0.0,1230.47,0.0855193,406.7,0.0,0,333.257
19,0,0.0,1460.46,0.0348902,406.7,0.0,0,563.245
20,0,0.0,1714.07,0.0261867,406.7,0.0,0,816.854
21,0,0.0,1677.48,0.0270204,406.7,0.0,0,780.268
22,0,0.0,1549.85,0.0308165,406.7,0.0,0,652.64
23,0,0.0,2238.97,0.0193487,406.7,0.0,0,1341.76
24,0,0.0,2271.38,0.0190909,406.7,0.0,0,1374.17
25,0,0.0,1820.42,0.0241706,406.7,0.0,0,923.204
26,0,0.0,1397.83,0.039161,406.7,0.0,0,500.621
27,0,0.0,1501.33,0.0328163,406.7,0.0,0,604.115
28,0,0.0,1954.67,0.0222232,406.7,0.0,0,1057.46
29,0,0.0,2289.51,0.0189514,406.7,0.0,0,1392.3
30,0,0.0,1642.29,0.0279113,406.7,0.0,0,745.074
31,0,0.0,2387.15,0.0182519,406.7,0.0,0,1489.93
32,0,0.0,2317.27,0.0187439,406.7,0.0,0,1420.06
33,0,0.0,2109.88,0.0204983,406.7,0.0,0,1212.67
34,0,0.0,1952.99,0.0222446,406.7,0.0,0,1055.78
35,0,0.0,1851.58,0.0236692,406.7,0.0,0,954.37
36,0,0.0,2399.38,0.0181699,406.7,0.0,0,1502.17
37,0,0.0,1442.59,0.0359478,406.7,0.0,0,545.373
38,0,0.0,2201.07,0.0196648,406.7,0.0,0,1303.86
39,0,0.0,2217.69,0.0195241,406.7,0.0,0,1320.48
40,0,0.0,2022.53,0.0214134,406.7,0.0,0,1125.32
41,0,0.0,1451.96,0.0353797,406.7,0.0,0,554.748
42,0,0.0,1207.69,0.144187,406.7,0.0,0,310.478
